Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A12003A_001,SE_A12003A_002,SE_A12003A_003,SE_A12003B_001,SE_A12003B_002,SE_A12003B_003,SE_A17005A_001,SE_A17005A_002,SE_A17005A_003,SE_A17005B_001,SE_A17005B_002,SE_A17005B_003,SE_A17006A_001,SE_A17006A_002,SE_A17006A_003,SE_A17006B_001,SE_A17006B_002,SE_A17006B_003,SE_A17006D_001,SE_A17006D_002,SE_A17006D_003,SE_A17006H_001,SE_A17006H_002,SE_A17006H_003
"16047","05000US16047","Gooding County, Idaho","Gooding County, Idaho","id","050","00","ACSSF","0000036",,,,,"16","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511,115,396,405,18,387,4203,3911,292,3084,2975,109,6617,6252,365,4,4,0,0,0,0,1882,1791,91
"16049","05000US16049","Idaho County, Idaho","Idaho County, Idaho","id","050","00","ACSSF","0000037",,,,,"16","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,43,359,330,8,322,3462,3293,169,3218,3028,190,6349,6034,315,7,7,0,26,26,0,173,157,16
"16051","05000US16051","Jefferson County, Idaho","Jefferson County, Idaho","id","050","00","ACSSF","0000038",,,,,"16","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935,135,800,903,54,849,7244,6865,379,5228,5033,195,11321,10770,551,13,13,0,30,24,6,1322,1276,46
"16053","05000US16053","Jerome County, Idaho","Jerome County, Idaho","id","050","00","ACSSF","0000039",,,,,"16","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,35,615,645,58,587,6319,6043,276,4372,4152,220,10234,9748,486,12,12,0,62,62,0,3628,3491,137
"16055","05000US16055","Kootenai County, Idaho","Kootenai County, Idaho","id","050","00","ACSSF","0000040",,,,,"16","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3749,205,3544,3544,139,3405,38554,35914,2640,33547,31766,1781,68236,64295,3941,211,123,88,468,465,3,3090,2782,308
"16057","05000US16057","Latah County, Idaho","Latah County, Idaho","id","050","00","ACSSF","0000041",,,,,"16","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936,2,1934,1919,34,1885,11023,10193,830,9588,8925,663,19470,18201,1269,56,56,0,266,211,55,913,832,81
"16059","05000US16059","Lemhi County, Idaho","Lemhi County, Idaho","id","050","00","ACSSF","0000042",,,,,"16","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,1,160,116,13,103,1812,1710,102,1441,1399,42,3114,2993,121,13,13,0,0,0,0,167,167,0
"16061","05000US16061","Lewis County, Idaho","Lewis County, Idaho","id","050","00","ACSSF","0000043",,,,,"16","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,17,84,81,14,67,824,776,48,796,748,48,1460,1370,90,0,0,0,21,21,0,52,52,0
"16063","05000US16063","Lincoln County, Idaho","Lincoln County, Idaho","id","050","00","ACSSF","0000044",,,,,"16","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,10,146,143,0,143,1467,1407,60,989,972,17,2330,2261,69,0,0,0,3,3,0,741,731,10
"16065","05000US16065","Madison County, Idaho","Madison County, Idaho","id","050","00","ACSSF","0000045",,,,,"16","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1285,6,1279,2606,20,2586,10716,9860,856,8077,7213,864,17521,15948,1573,170,119,51,262,262,0,1238,1181,57
"16067","05000US16067","Minidoka County, Idaho","Minidoka County, Idaho","id","050","00","ACSSF","0000046",,,,,"16","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581,26,555,448,19,429,5482,5244,238,4092,3954,138,9025,8680,345,8,8,0,61,61,0,3286,3186,100
"16069","05000US16069","Nez Perce County, Idaho","Nez Perce County, Idaho","id","050","00","ACSSF","0000047",,,,,"16","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995,160,835,916,33,883,10295,9782,513,9522,9195,327,18205,17522,683,102,102,0,174,170,4,730,704,26
"16071","05000US16071","Oneida County, Idaho","Oneida County, Idaho","id","050","00","ACSSF","0000048",,,,,"16","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,14,113,145,0,145,1057,1002,55,732,691,41,1725,1640,85,3,3,0,0,0,0,83,83,0
"16073","05000US16073","Owyhee County, Idaho","Owyhee County, Idaho","id","050","00","ACSSF","0000049",,,,,"16","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,87,284,375,13,362,2894,2678,216,2105,2009,96,4249,3979,270,0,0,0,0,0,0,1294,1206,88
"16075","05000US16075","Payette County, Idaho","Payette County, Idaho","id","050","00","ACSSF","0000050",,,,,"16","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677,148,529,462,22,440,6007,5611,396,4301,4068,233,9396,8854,542,28,28,0,22,22,0,1693,1620,73
"16077","05000US16077","Power County, Idaho","Power County, Idaho","id","050","00","ACSSF","0000051",,,,,"16","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,4,228,133,0,133,1998,1922,76,1335,1071,264,2869,2565,304,20,20,0,0,0,0,900,900,0
"16079","05000US16079","Shoshone County, Idaho","Shoshone County, Idaho","id","050","00","ACSSF","0000052",,,,,"16","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,45,307,268,47,221,3068,2752,316,2389,2218,171,5142,4701,441,36,36,0,13,13,0,179,149,30
"16081","05000US16081","Teton County, Idaho","Teton County, Idaho","id","050","00","ACSSF","0000053",,,,,"16","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,31,283,129,5,124,3379,3078,301,2601,2529,72,5264,5065,199,20,20,0,13,13,0,965,759,206
"16083","05000US16083","Twin Falls County, Idaho","Twin Falls County, Idaho","id","050","00","ACSSF","0000054",,,,,"16","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2032,76,1956,2363,141,2222,21632,20682,950,18975,18187,788,37823,36189,1634,272,257,15,632,632,0,6108,5881,227
"16085","05000US16085","Valley County, Idaho","Valley County, Idaho","id","050","00","ACSSF","0000055",,,,,"16","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,2,222,162,0,162,2279,2142,137,2155,2102,53,4405,4215,190,0,0,0,1,1,0,47,47,0
"16087","05000US16087","Washington County, Idaho","Washington County, Idaho","id","050","00","ACSSF","0000056",,,,,"16","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,38,250,171,12,159,2231,2092,139,1840,1601,239,3633,3296,337,0,0,0,15,15,0,855,758,97
"17001","05000US17001","Adams County, Illinois","Adams County, Illinois","il","050","00","ACSSF","0000013",,,,,"17","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1664,84,1580,1563,92,1471,17627,16572,1055,16490,15671,819,32502,30833,1669,1071,943,128,157,157,0,493,486,7
"17003","05000US17003","Alexander County, Illinois","Alexander County, Illinois","il","050","00","ACSSF","0000014",,,,,"17","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,0,210,147,0,147,1114,983,131,1244,1181,63,1476,1354,122,839,767,72,5,5,0,30,30,0
"17005","05000US17005","Bond County, Illinois","Bond County, Illinois","il","050","00","ACSSF","0000015",,,,,"17","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,64,441,481,0,481,3918,3670,248,3967,3813,154,7427,7063,364,270,261,9,76,76,0,310,300,10
"17007","05000US17007","Boone County, Illinois","Boone County, Illinois","il","050","00","ACSSF","0000016",,,,,"17","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1602,24,1578,1718,37,1681,14995,13809,1186,12259,11251,1008,24129,22386,1743,499,400,99,287,285,2,5503,4920,583
"17009","05000US17009","Brown County, Illinois","Brown County, Illinois","il","050","00","ACSSF","0000017",,,,,"17","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,28,97,140,0,140,1337,1266,71,1200,1152,48,2499,2380,119,6,6,0,15,15,0,6,6,0
"17011","05000US17011","Bureau County, Illinois","Bureau County, Illinois","il","050","00","ACSSF","0000018",,,,,"17","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849,80,769,751,121,630,9068,8483,585,8184,7779,405,16297,15381,916,110,106,4,134,134,0,1444,1355,89
"17013","05000US17013","Calhoun County, Illinois","Calhoun County, Illinois","il","050","00","ACSSF","0000019",,,,,"17","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,1,97,173,0,173,1198,1136,62,1051,1030,21,2192,2111,81,0,0,0,45,45,0,11,6,5
"17015","05000US17015","Carroll County, Illinois","Carroll County, Illinois","il","050","00","ACSSF","0000020",,,,,"17","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323,0,323,315,29,286,3812,3583,229,3372,3182,190,6972,6558,414,65,60,5,40,40,0,223,223,0
"17017","05000US17017","Cass County, Illinois","Cass County, Illinois","il","050","00","ACSSF","0000021",,,,,"17","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,81,294,324,0,324,3536,3253,283,3073,2899,174,6014,5613,401,312,275,37,23,23,0,1116,949,167
"17019","05000US17019","Champaign County, Illinois","Champaign County, Illinois","il","050","00","ACSSF","0000022",,,,,"17","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9721,95,9626,8915,125,8790,56500,53150,3350,52281,49949,2332,82414,78883,3531,13627,12213,1414,9221,8780,441,5907,5514,393
"17021","05000US17021","Christian County, Illinois","Christian County, Illinois","il","050","00","ACSSF","0000023",,,,,"17","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,787,103,684,702,32,670,7925,7505,420,7790,7482,308,15343,14619,724,51,51,0,157,157,0,221,217,4
"17023","05000US17023","Clark County, Illinois","Clark County, Illinois","il","050","00","ACSSF","0000024",,,,,"17","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,6,395,387,20,367,4376,4131,245,3830,3544,286,8027,7506,521,22,12,10,62,62,0,114,102,12
"17025","05000US17025","Clay County, Illinois","Clay County, Illinois","il","050","00","ACSSF","0000025",,,,,"17","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,40,314,260,26,234,3471,3300,171,3211,3048,163,6538,6234,304,38,25,13,65,65,0,137,137,0
"17027","05000US17027","Clinton County, Illinois","Clinton County, Illinois","il","050","00","ACSSF","0000026",,,,,"17","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932,97,835,792,2,790,9839,9519,320,9635,9199,436,18843,18125,718,142,138,4,168,168,0,434,407,27
"17029","05000US17029","Coles County, Illinois","Coles County, Illinois","il","050","00","ACSSF","0000027",,,,,"17","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746,83,1663,2249,17,2232,13447,12375,1072,13213,12350,863,25005,23248,1757,872,766,106,332,323,9,655,617,38
"17031","05000US17031","Cook County, Illinois","Cook County, Illinois","il","050","00","ACSSF","0000028",,,,,"17","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130345,6062,124283,128185,3590,124595,1437114,1311287,125827,1324928,1210150,114778,1650125,1557584,92541,582612,475001,107611,202803,191536,11267,650536,596113,54423
"17033","05000US17033","Crawford County, Illinois","Crawford County, Illinois","il","050","00","ACSSF","0000029",,,,,"17","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414,70,344,352,42,310,4536,4225,311,4105,3877,228,8402,7866,536,17,15,2,54,54,0,92,81,11
"17035","05000US17035","Cumberland County, Illinois","Cumberland County, Illinois","il","050","00","ACSSF","0000030",,,,,"17","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,0,254,264,0,264,2930,2766,164,2477,2369,108,5329,5057,272,0,0,0,15,15,0,55,55,0
"17037","05000US17037","DeKalb County, Illinois","DeKalb County, Illinois","il","050","00","ACSSF","0000031",,,,,"17","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3750,151,3599,4272,121,4151,29654,27108,2546,27816,25403,2413,48803,45474,3329,4063,3011,1052,1540,1361,179,5605,4881,724
"17039","05000US17039","De Witt County, Illinois","De Witt County, Illinois","il","050","00","ACSSF","0000032",,,,,"17","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,16,393,360,44,316,4717,4390,327,3970,3722,248,7873,7359,514,9,8,1,17,17,0,188,187,1
"17041","05000US17041","Douglas County, Illinois","Douglas County, Illinois","il","050","00","ACSSF","0000033",,,,,"17","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,119,351,555,72,483,5242,4991,251,4414,4147,267,9263,8816,447,14,10,4,92,81,11,756,737,19
"17043","05000US17043","DuPage County, Illinois","DuPage County, Illinois","il","050","00","ACSSF","0000034",,,,,"17","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25469,682,24787,24540,355,24185,274222,260022,14200,239242,226828,12414,407733,388118,19615,24363,21998,2365,56404,53522,2882,68958,64549,4409
"17045","05000US17045","Edgar County, Illinois","Edgar County, Illinois","il","050","00","ACSSF","0000035",,,,,"17","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444,0,444,334,15,319,4708,4288,420,3991,3764,227,8555,7925,630,3,3,0,35,32,3,36,24,12
"17047","05000US17047","Edwards County, Illinois","Edwards County, Illinois","il","050","00","ACSSF","0000036",,,,,"17","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,3,186,97,0,97,1790,1669,121,1550,1467,83,3295,3091,204,0,0,0,35,35,0,8,8,0
"17049","05000US17049","Effingham County, Illinois","Effingham County, Illinois","il","050","00","ACSSF","0000037",,,,,"17","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,969,103,866,739,1,738,9928,9389,539,8097,7840,257,17585,16804,781,83,78,5,38,38,0,346,316,30
"17051","05000US17051","Fayette County, Illinois","Fayette County, Illinois","il","050","00","ACSSF","0000038",,,,,"17","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549,85,464,412,14,398,5003,4596,407,4512,4211,301,9340,8637,703,0,0,0,44,44,0,31,31,0
"17053","05000US17053","Ford County, Illinois","Ford County, Illinois","il","050","00","ACSSF","0000039",,,,,"17","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,27,309,329,35,294,3418,3241,177,3196,2936,260,6453,6025,428,34,34,0,32,32,0,200,170,30
"17055","05000US17055","Franklin County, Illinois","Franklin County, Illinois","il","050","00","ACSSF","0000040",,,,,"17","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886,102,784,945,115,830,8842,7947,895,8136,7519,617,16548,15116,1432,74,44,30,120,118,2,234,160,74
"17057","05000US17057","Fulton County, Illinois","Fulton County, Illinois","il","050","00","ACSSF","0000041",,,,,"17","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,845,25,820,767,8,759,8397,7649,748,7875,7378,497,16003,14773,1230,69,64,5,47,37,10,437,388,49
"17059","05000US17059","Gallatin County, Illinois","Gallatin County, Illinois","il","050","00","ACSSF","0000042",,,,,"17","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,0,105,66,0,66,1257,1161,96,1056,972,84,2295,2115,180,4,4,0,0,0,0,20,20,0
"17061","05000US17061","Greene County, Illinois","Greene County, Illinois","il","050","00","ACSSF","0000043",,,,,"17","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386,13,373,279,38,241,3265,3049,216,3012,2805,207,6193,5775,418,0,0,0,11,11,0,5,5,0
"17063","05000US17063","Grundy County, Illinois","Grundy County, Illinois","il","050","00","ACSSF","0000044",,,,,"17","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1341,15,1326,1344,61,1283,14102,13180,922,12035,11428,607,24784,23329,1455,284,274,10,254,232,22,2317,2162,155
"17065","05000US17065","Hamilton County, Illinois","Hamilton County, Illinois","il","050","00","ACSSF","0000045",,,,,"17","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,62,137,221,0,221,2084,1999,85,1822,1752,70,3892,3741,151,4,4,0,10,6,4,0,0,0
"17067","05000US17067","Hancock County, Illinois","Hancock County, Illinois","il","050","00","ACSSF","0000046",,,,,"17","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,34,329,395,22,373,4904,4628,276,3970,3664,306,8734,8156,578,4,0,4,42,42,0,104,65,39
"17069","05000US17069","Hardin County, Illinois","Hardin County, Illinois","il","050","00","ACSSF","0000047",,,,,"17","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,29,78,77,0,77,922,651,271,753,652,101,1658,1286,372,0,0,0,3,3,0,17,15,2
"17071","05000US17071","Henderson County, Illinois","Henderson County, Illinois","il","050","00","ACSSF","0000048",,,,,"17","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,14,164,144,33,111,1854,1724,130,1690,1607,83,3456,3247,209,3,3,0,45,45,0,32,23,9
"17073","05000US17073","Henry County, Illinois","Henry County, Illinois","il","050","00","ACSSF","0000049",,,,,"17","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1394,39,1355,1224,8,1216,13034,12364,670,11095,10537,558,22996,21859,1137,244,182,62,90,85,5,1229,1195,34
"17075","05000US17075","Iroquois County, Illinois","Iroquois County, Illinois","il","050","00","ACSSF","0000050",,,,,"17","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687,32,655,660,33,627,7400,6887,513,6742,6332,410,13336,12474,862,93,93,0,68,68,0,939,815,124
"17077","05000US17077","Jackson County, Illinois","Jackson County, Illinois","il","050","00","ACSSF","0000051",,,,,"17","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2485,22,2463,2027,52,1975,14164,12920,1244,13788,12674,1114,21669,20106,1563,4109,3509,600,1032,1019,13,1145,885,260
"17079","05000US17079","Jasper County, Illinois","Jasper County, Illinois","il","050","00","ACSSF","0000052",,,,,"17","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,1,210,270,0,270,2524,2340,184,2208,2182,26,4698,4504,194,14,10,4,0,0,0,43,34,9
"17081","05000US17081","Jefferson County, Illinois","Jefferson County, Illinois","il","050","00","ACSSF","0000053",,,,,"17","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913,86,827,629,27,602,8885,8088,797,8513,7828,685,15826,14502,1324,1148,1026,122,221,196,25,222,146,76
"17083","05000US17083","Jersey County, Illinois","Jersey County, Illinois","il","050","00","ACSSF","0000054",,,,,"17","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674,26,648,605,2,603,5627,5258,369,5454,5129,325,10783,10224,559,58,58,0,48,10,38,118,118,0
"17085","05000US17085","Jo Daviess County, Illinois","Jo Daviess County, Illinois","il","050","00","ACSSF","0000055",,,,,"17","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533,13,520,492,23,469,6129,5839,290,5336,5129,207,11224,10738,486,36,32,4,46,46,0,370,365,5
"17087","05000US17087","Johnson County, Illinois","Johnson County, Illinois","il","050","00","ACSSF","0000056",,,,,"17","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,7,378,226,2,224,2168,1982,186,2336,2183,153,4469,4137,332,2,0,2,16,16,0,35,27,8
"17089","05000US17089","Kane County, Illinois","Kane County, Illinois","il","050","00","ACSSF","0000057",,,,,"17","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15972,391,15581,15023,605,14418,152171,143391,8780,128175,119580,8595,207682,196088,11594,14328,12415,1913,11281,10726,555,82295,76073,6222
"17091","05000US17091","Kankakee County, Illinois","Kankakee County, Illinois","il","050","00","ACSSF","0000058",,,,,"17","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3462,187,3275,3004,68,2936,27998,25665,2333,25841,24146,1695,44816,42261,2555,6725,5563,1162,502,481,21,5098,4601,497
"17093","05000US17093","Kendall County, Illinois","Kendall County, Illinois","il","050","00","ACSSF","0000059",,,,,"17","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3344,49,3295,3661,99,3562,35091,33384,1707,31575,29968,1607,54948,52265,2683,4574,4214,360,2192,2149,43,11227,10579,648
"17095","05000US17095","Knox County, Illinois","Knox County, Illinois","il","050","00","ACSSF","0000060",,,,,"17","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1508,94,1414,1326,58,1268,11563,10746,817,11213,10584,629,20562,19389,1173,1262,1065,197,254,240,14,1043,982,61
"17097","05000US17097","Lake County, Illinois","Lake County, Illinois","il","050","00","ACSSF","0000061",,,,,"17","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23771,418,23353,20384,497,19887,199890,187072,12818,171137,160720,10417,293910,277750,16160,24056,20541,3515,27229,25712,1517,74282,69466,4816
"17099","05000US17099","LaSalle County, Illinois","LaSalle County, Illinois","il","050","00","ACSSF","0000062",,,,,"17","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750,218,2532,2642,89,2553,29697,26845,2852,25731,23966,1765,52656,48318,4338,804,714,90,449,438,11,4840,4358,482
"17101","05000US17101","Lawrence County, Illinois","Lawrence County, Illinois","il","050","00","ACSSF","0000063",,,,,"17","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,41,254,314,10,304,3434,3162,272,3290,3199,91,6415,6052,363,52,52,0,26,26,0,76,76,0
"17103","05000US17103","Lee County, Illinois","Lee County, Illinois","il","050","00","ACSSF","0000064",,,,,"17","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763,59,704,800,8,792,8630,8024,606,7720,7362,358,15630,14731,899,172,166,6,109,107,2,507,446,61
"17105","05000US17105","Livingston County, Illinois","Livingston County, Illinois","il","050","00","ACSSF","0000065",,,,,"17","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897,57,840,862,12,850,9003,8445,558,8026,7639,387,16577,15681,896,155,137,18,50,50,0,694,660,34
"17107","05000US17107","Logan County, Illinois","Logan County, Illinois","il","050","00","ACSSF","0000066",,,,,"17","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,47,713,818,19,799,7295,6841,454,6074,5784,290,12600,11978,622,168,140,28,79,79,0,274,248,26
"17109","05000US17109","McDonough County, Illinois","McDonough County, Illinois","il","050","00","ACSSF","0000067",,,,,"17","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,28,1472,1668,0,1668,7869,7150,719,7269,6687,582,13891,12841,1050,599,420,179,367,315,52,357,283,74
"17111","05000US17111","McHenry County, Illinois","McHenry County, Illinois","il","050","00","ACSSF","0000068",,,,,"17","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8997,298,8699,8721,251,8470,91743,86468,5275,79654,75709,3945,159382,150962,8420,2220,2031,189,4631,4426,205,19673,18484,1189
"17113","05000US17113","McLean County, Illinois","McLean County, Illinois","il","050","00","ACSSF","0000069",,,,,"17","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6253,171,6082,6712,151,6561,48768,46750,2018,46087,44402,1685,80364,77609,2755,6833,6102,731,5093,5023,70,4380,4168,212
"17115","05000US17115","Macon County, Illinois","Macon County, Illinois","il","050","00","ACSSF","0000070",,,,,"17","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2819,200,2619,2685,144,2541,26574,24003,2571,26390,24106,2284,42510,39583,2927,6808,5570,1238,703,652,51,1048,883,165
"17117","05000US17117","Macoupin County, Illinois","Macoupin County, Illinois","il","050","00","ACSSF","0000071",,,,,"17","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1056,40,1016,1242,3,1239,11872,10745,1127,10967,10218,749,22328,20493,1835,169,157,12,96,93,3,245,222,23
"17119","05000US17119","Madison County, Illinois","Madison County, Illinois","il","050","00","ACSSF","0000072",,,,,"17","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6420,260,6160,6617,201,6416,69970,64365,5605,65640,61231,4409,120996,113278,7718,10658,8809,1849,1308,1241,67,3870,3453,417
"17121","05000US17121","Marion County, Illinois","Marion County, Illinois","il","050","00","ACSSF","0000073",,,,,"17","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,787,54,733,851,46,805,9537,8707,830,9033,8251,782,17379,15951,1428,538,460,78,172,128,44,318,287,31
"17123","05000US17123","Marshall County, Illinois","Marshall County, Illinois","il","050","00","ACSSF","0000074",,,,,"17","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,20,269,270,8,262,3177,2950,227,2703,2564,139,5714,5391,323,24,0,24,15,14,1,187,154,33
"17125","05000US17125","Mason County, Illinois","Mason County, Illinois","il","050","00","ACSSF","0000075",,,,,"17","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,5,310,302,0,302,3559,3308,251,3151,2865,286,6639,6105,534,46,46,0,13,13,0,26,26,0
"17127","05000US17127","Massac County, Illinois","Massac County, Illinois","il","050","00","ACSSF","0000076",,,,,"17","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,0,355,270,6,264,3202,2943,259,2836,2620,216,5521,5175,346,341,239,102,14,14,0,198,153,45
